CookerStat, GenerateAssetRegistry=0.027016, Initialize=0.144497, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
SavePackageTransactionIdAC79C9754F7606D961DE1AAA452F82C1_0, Filename=../../../../../../Users/asus/Documents/Unreal Projects/Low_Poly_Tree/Content/Map/SC.umap, AutoPackageBackupDelegate=12.002971, FlushAsyncLoading=0.011723, FlushStreamingFunc=0.101171, BlockTillAllRequestsFinished=0.004843, ResetLoadersForSaveUnMarkAllObjects=3.242910, TagPackageExports=4.098173, BeginCacheForCookedPlatformData=0.003058, SerializeImports=5.872153, GatherLocalizableTextData=69.672997, MarkNames=1.060411, SerializeSummary=0.027779, SerializeNames=0.678651, SerializeGatherableTextData=0.014272, BuildExportMap=1.461029, SortExportsNonSeekfree=2.265833, SortExportsSeekfreeConstructor=0.084862, SortExportsSeekfreeInner=29.131655, SortExportsSeekfree=0.007134, BuildDependencyMap=0.282623, SerializeImportMap=0.105251, SerializeExportMap=0.083845, SerializeDependencyMap=0.021916, SerializeStringAssetReferenceMap=0.003058, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.935042, SerializeExports=22.480183, SerializeBulkData=5.260270, MoveFile=3.764831, UnaccountedTime=1.679435, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_3, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_CDFC84AC48B895F3A63A39A4D4DD9EBD, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.088431, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdDF5FA2C74E36CCF80AFDEB99466BE9A2_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_DD01F308E23C46BD34ED4D6FCE8E3C71, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.094038, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdF23F1CEF49506D1D36AF0587B73EC97A_4, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_818B0AC841511C8B24071784A8E663E6, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.103470, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_4, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_CBF706138EEF2DCE3B764F29A29359F3, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.106014, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_4, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_6C8A237F4D0F2C1717B241AA1CD666CE, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.104230, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_4, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_02F4184E6B92E47CD59036ED57ECD81E, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.108819, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_4, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_AB1D21D646BA9F149E9F0AA8E0327CFC, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.106782, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdDF5FA2C74E36CCF80AFDEB99466BE9A2_4, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D02BCD9F1AF7AA79A7C9730B37C7FE22, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.104487, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_5, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_9E81EB3140DEE31B84B610B472090051, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.127677, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_5, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8DA34C514FFC5978323953FF03A4450A, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.130735, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
